year,city,country,Mecca_avg_temp,year-2,Global_avg_temp-2
1843,Mecca,Saudi Arabia,25.16,1843,8.17
1844,Mecca,Saudi Arabia,19.05,1844,7.65
1845,Mecca,Saudi Arabia,22.46,1845,7.85
1846,Mecca,Saudi Arabia,NULL,1846,8.55
1847,Mecca,Saudi Arabia,NULL,1847,8.09
1848,Mecca,Saudi Arabia,NULL,1848,7.98
1849,Mecca,Saudi Arabia,NULL,1849,7.98
1850,Mecca,Saudi Arabia,NULL,1850,7.9
1851,Mecca,Saudi Arabia,NULL,1851,8.18
1852,Mecca,Saudi Arabia,NULL,1852,8.1
1853,Mecca,Saudi Arabia,NULL,1853,8.04
1854,Mecca,Saudi Arabia,NULL,1854,8.21
1855,Mecca,Saudi Arabia,NULL,1855,8.11
1856,Mecca,Saudi Arabia,NULL,1856,8
1857,Mecca,Saudi Arabia,NULL,1857,7.76
1858,Mecca,Saudi Arabia,NULL,1858,8.1
1859,Mecca,Saudi Arabia,NULL,1859,8.25
1860,Mecca,Saudi Arabia,NULL,1860,7.96
1861,Mecca,Saudi Arabia,23.98,1861,7.85
1862,Mecca,Saudi Arabia,24.13,1862,7.56
1863,Mecca,Saudi Arabia,22.87,1863,8.11
1864,Mecca,Saudi Arabia,25.43,1864,7.98
1865,Mecca,Saudi Arabia,25.6,1865,8.18
1866,Mecca,Saudi Arabia,25.42,1866,8.29
1867,Mecca,Saudi Arabia,25.62,1867,8.44
1868,Mecca,Saudi Arabia,25.3,1868,8.25
1869,Mecca,Saudi Arabia,25.65,1869,8.43
1870,Mecca,Saudi Arabia,25.35,1870,8.2
1871,Mecca,Saudi Arabia,24.97,1871,8.12
1872,Mecca,Saudi Arabia,25.2,1872,8.19
1873,Mecca,Saudi Arabia,25.57,1873,8.35
1874,Mecca,Saudi Arabia,25.32,1874,8.43
1875,Mecca,Saudi Arabia,24.53,1875,7.86
1876,Mecca,Saudi Arabia,25.13,1876,8.08
1877,Mecca,Saudi Arabia,25.81,1877,8.54
1878,Mecca,Saudi Arabia,25.94,1878,8.83
1879,Mecca,Saudi Arabia,25.57,1879,8.17
1880,Mecca,Saudi Arabia,25.42,1880,8.12
1881,Mecca,Saudi Arabia,26.06,1881,8.27
1882,Mecca,Saudi Arabia,25.09,1882,8.13
1883,Mecca,Saudi Arabia,25.36,1883,7.98
1884,Mecca,Saudi Arabia,25.03,1884,7.77
1885,Mecca,Saudi Arabia,25.33,1885,7.92
1886,Mecca,Saudi Arabia,25.13,1886,7.95
1887,Mecca,Saudi Arabia,25.08,1887,7.91
1888,Mecca,Saudi Arabia,25.21,1888,8.09
1889,Mecca,Saudi Arabia,25.88,1889,8.32
1890,Mecca,Saudi Arabia,25.79,1890,7.97
1891,Mecca,Saudi Arabia,25.88,1891,8.02
1892,Mecca,Saudi Arabia,25.39,1892,8.07
1893,Mecca,Saudi Arabia,25.42,1893,8.06
1894,Mecca,Saudi Arabia,25,1894,8.16
1895,Mecca,Saudi Arabia,24.96,1895,8.15
1896,Mecca,Saudi Arabia,25.24,1896,8.21
1897,Mecca,Saudi Arabia,25.27,1897,8.29
1898,Mecca,Saudi Arabia,25.59,1898,8.18
1899,Mecca,Saudi Arabia,25.57,1899,8.4
1900,Mecca,Saudi Arabia,25.5,1900,8.5
1901,Mecca,Saudi Arabia,25.79,1901,8.54
1902,Mecca,Saudi Arabia,25.42,1902,8.3
1903,Mecca,Saudi Arabia,25.03,1903,8.22
1904,Mecca,Saudi Arabia,25.4,1904,8.09
1905,Mecca,Saudi Arabia,25.12,1905,8.23
1906,Mecca,Saudi Arabia,25.26,1906,8.38
1907,Mecca,Saudi Arabia,24.98,1907,7.95
1908,Mecca,Saudi Arabia,25.23,1908,8.19
1909,Mecca,Saudi Arabia,25.95,1909,8.18
1910,Mecca,Saudi Arabia,25.18,1910,8.22
1911,Mecca,Saudi Arabia,24.85,1911,8.18
1912,Mecca,Saudi Arabia,25.05,1912,8.17
1913,Mecca,Saudi Arabia,24.75,1913,8.3
1914,Mecca,Saudi Arabia,25.38,1914,8.59
1915,Mecca,Saudi Arabia,25.88,1915,8.59
1916,Mecca,Saudi Arabia,25.36,1916,8.23
1917,Mecca,Saudi Arabia,25.27,1917,8.02
1918,Mecca,Saudi Arabia,25.25,1918,8.13
1919,Mecca,Saudi Arabia,26.01,1919,8.38
1920,Mecca,Saudi Arabia,25.17,1920,8.36
1921,Mecca,Saudi Arabia,25.17,1921,8.57
1922,Mecca,Saudi Arabia,25.66,1922,8.41
1923,Mecca,Saudi Arabia,25.51,1923,8.42
1924,Mecca,Saudi Arabia,25.96,1924,8.51
1925,Mecca,Saudi Arabia,25.51,1925,8.53
1926,Mecca,Saudi Arabia,25.53,1926,8.73
1927,Mecca,Saudi Arabia,25.82,1927,8.52
1928,Mecca,Saudi Arabia,26.05,1928,8.63
1929,Mecca,Saudi Arabia,25.92,1929,8.24
1930,Mecca,Saudi Arabia,25.76,1930,8.63
1931,Mecca,Saudi Arabia,25.9,1931,8.72
1932,Mecca,Saudi Arabia,25.45,1932,8.71
1933,Mecca,Saudi Arabia,25.21,1933,8.34
1934,Mecca,Saudi Arabia,25.53,1934,8.63
1935,Mecca,Saudi Arabia,25.9,1935,8.52
1936,Mecca,Saudi Arabia,25.75,1936,8.55
1937,Mecca,Saudi Arabia,25.61,1937,8.7
1938,Mecca,Saudi Arabia,25.31,1938,8.86
1939,Mecca,Saudi Arabia,25.72,1939,8.76
1940,Mecca,Saudi Arabia,25.92,1940,8.76
1941,Mecca,Saudi Arabia,26,1941,8.77
1942,Mecca,Saudi Arabia,26.07,1942,8.73
1943,Mecca,Saudi Arabia,25.21,1943,8.76
1944,Mecca,Saudi Arabia,25.85,1944,8.85
1945,Mecca,Saudi Arabia,25.69,1945,8.58
1946,Mecca,Saudi Arabia,25.65,1946,8.68
1947,Mecca,Saudi Arabia,26.13,1947,8.8
1948,Mecca,Saudi Arabia,25.11,1948,8.75
1949,Mecca,Saudi Arabia,25.11,1949,8.59
1950,Mecca,Saudi Arabia,25.89,1950,8.37
1951,Mecca,Saudi Arabia,25.96,1951,8.63
1952,Mecca,Saudi Arabia,26.31,1952,8.64
1953,Mecca,Saudi Arabia,26.15,1953,8.87
1954,Mecca,Saudi Arabia,26.16,1954,8.56
1955,Mecca,Saudi Arabia,25.65,1955,8.63
1956,Mecca,Saudi Arabia,25.66,1956,8.28
1957,Mecca,Saudi Arabia,25.51,1957,8.73
1958,Mecca,Saudi Arabia,26.29,1958,8.77
1959,Mecca,Saudi Arabia,25.26,1959,8.73
1960,Mecca,Saudi Arabia,26.33,1960,8.58
1961,Mecca,Saudi Arabia,25.87,1961,8.8
1962,Mecca,Saudi Arabia,26.11,1962,8.75
1963,Mecca,Saudi Arabia,26.1,1963,8.86
1964,Mecca,Saudi Arabia,25.44,1964,8.41
1965,Mecca,Saudi Arabia,25.76,1965,8.53
1966,Mecca,Saudi Arabia,26.19,1966,8.6
1967,Mecca,Saudi Arabia,25.33,1967,8.7
1968,Mecca,Saudi Arabia,25.26,1968,8.52
1969,Mecca,Saudi Arabia,26.09,1969,8.6
1970,Mecca,Saudi Arabia,25.92,1970,8.7
1971,Mecca,Saudi Arabia,24.96,1971,8.6
1972,Mecca,Saudi Arabia,25.53,1972,8.5
1973,Mecca,Saudi Arabia,25.98,1973,8.95
1974,Mecca,Saudi Arabia,25.47,1974,8.47
1975,Mecca,Saudi Arabia,25.34,1975,8.74
1976,Mecca,Saudi Arabia,25.56,1976,8.35
1977,Mecca,Saudi Arabia,26.11,1977,8.85
1978,Mecca,Saudi Arabia,26.12,1978,8.69
1979,Mecca,Saudi Arabia,26.55,1979,8.73
1980,Mecca,Saudi Arabia,26.32,1980,8.98
1981,Mecca,Saudi Arabia,26.19,1981,9.17
1982,Mecca,Saudi Arabia,25.04,1982,8.64
1983,Mecca,Saudi Arabia,25.4,1983,9.03
1984,Mecca,Saudi Arabia,25.19,1984,8.69
1985,Mecca,Saudi Arabia,25.36,1985,8.66
1986,Mecca,Saudi Arabia,25.64,1986,8.83
1987,Mecca,Saudi Arabia,26.35,1987,8.99
1988,Mecca,Saudi Arabia,26.34,1988,9.2
1989,Mecca,Saudi Arabia,25.47,1989,8.92
1990,Mecca,Saudi Arabia,25.86,1990,9.23
1991,Mecca,Saudi Arabia,25.94,1991,9.18
1992,Mecca,Saudi Arabia,24.74,1992,8.84
1993,Mecca,Saudi Arabia,25.9,1993,8.87
1994,Mecca,Saudi Arabia,26.26,1994,9.04
1995,Mecca,Saudi Arabia,26.33,1995,9.35
1996,Mecca,Saudi Arabia,26.37,1996,9.04
1997,Mecca,Saudi Arabia,25.88,1997,9.2
1998,Mecca,Saudi Arabia,26.48,1998,9.52
1999,Mecca,Saudi Arabia,26.75,1999,9.29
2000,Mecca,Saudi Arabia,26.62,2000,9.2
2001,Mecca,Saudi Arabia,26.6,2001,9.41
2002,Mecca,Saudi Arabia,26.63,2002,9.57
2003,Mecca,Saudi Arabia,26.87,2003,9.53
2004,Mecca,Saudi Arabia,26.53,2004,9.32
2005,Mecca,Saudi Arabia,26.47,2005,9.7
2006,Mecca,Saudi Arabia,26.42,2006,9.53
2007,Mecca,Saudi Arabia,26.58,2007,9.73
2008,Mecca,Saudi Arabia,26.64,2008,9.43
2009,Mecca,Saudi Arabia,26.9,2009,9.51
2010,Mecca,Saudi Arabia,27.3,2010,9.7
2011,Mecca,Saudi Arabia,26.57,2011,9.52
2012,Mecca,Saudi Arabia,27.02,2012,9.51
2013,Mecca,Saudi Arabia,27.57,2013,9.61
